,Name,Category,Metal,Atom_A,Atom_B,A-M-B Angle,M-A Distance,M-B Distance,Metal_NBO,A_NBO,B_NBO,HOMO_LUMO,A-B_NBO,MA_MB_Difference,SPE
0,n-n-1,etcoord,1,12,13,75,2.2464014744862504,2.1686493361781656,0.42466,-0.45886,-0.42356,0.13575999999999996,-0.0353,0.0777521383080848,-1124.07385608
23,p-so-8,etcoord,32,1,5,88,2.5169192078010765,2.1489128201928063,0.3238,1.04117,-0.95725,0.16948,1.9984199999999999,0.3680063876082702,-2554.44320634
24,p-so-9,etcoord,30,1,5,88,2.510653674149623,2.157334548294724,0.29122,1.05368,-0.9508,0.16759000000000002,2.00448,0.3533191258548989,-2325.4375158
25,pcpo-1,etcoord,1,2,60,85,2.535138236959476,2.1620170100269793,0.30208,1.01325,-1.06397,0.16969,2.07722,0.3731212269324966,-2160.45807074
26,pcpo-2,etcoord,1,2,60,89,2.4885052413740265,2.1480869164000325,0.28317,1.03922,-1.07309,0.16547,2.11231,0.34041832497399405,-2199.75557183
27,pcpo-3,etcoord,1,2,60,86,2.5168890260736565,2.129780162111808,0.3007,1.01942,-1.092,0.16589000000000004,2.11142,0.3871088639618483,-2239.0544862
28,pnpo-1,etcoord,68,1,2,82,2.5437992606754567,2.1739192821625184,0.31057,1.20903,-1.08454,0.13480999999999999,2.29357,0.3698799785129383,-2770.41777983
29,pnpo-10,etcoord,58,1,2,79,2.533008772801626,2.2047323419104643,0.33946,1.18989,-1.09159,0.15703,2.28148,0.32827643089116165,-3096.4560053
30,pnpo-11,etcoord,58,1,2,79,2.5354958310722973,2.196931717051989,0.34408,1.18808,-1.09062,0.16207,2.2786999999999997,0.33856411402030817,-3139.13503572
31,pnpo-12,etcoord,58,1,2,79,2.533903888093627,2.2083570502853473,0.34263,1.18867,-1.09223,0.15294999999999997,2.2809,0.32554683780827975,-3210.96518582
32,pnpo-13,etcoord,58,1,2,80,2.530143706801849,2.2107157325990605,0.34128,1.1904,-1.09316,0.13135,2.2835599999999996,0.31942797420278835,-3230.38150266
33,pnpo-2,etcoord,67,1,2,80,2.5474403760873385,2.15787579275291,0.35306,1.20051,-1.07125,0.13888999999999999,2.27176,0.38956458333442834,-3001.37413133
34,pnpo-3,etcoord,68,1,2,82,2.545204792708634,2.173710794157079,0.31348,1.20771,-1.08254,0.1608,2.2902500000000003,0.37149399855155485,-2751.00155993
35,pnpo-4,etcoord,87,1,2,78,2.535106938249351,2.185534394155123,0.32839,1.20752,-1.08517,0.13201,2.29269,0.3495725440942281,-2999.42482741
36,pnpo-5,etcoord,68,1,2,82,2.5413193695324874,2.1745135453252527,0.3148,1.20808,-1.08092,0.1698,2.289,0.36680582420723473,-2636.49304408
37,pnpo-6,etcoord,58,1,2,81,2.520703194925773,2.1796432215229626,0.2708,1.2275,-1.07647,0.15697,2.30397,0.34105997340281036,-2521.98251168
38,pnpo-7,etcoord,58,1,2,80,2.51977577294191,2.1823945752301532,0.27127,1.22605,-1.07717,0.17005,2.30322,0.3373811977117569,-2407.47431767
39,pnpo-8,etcoord,58,1,2,79,2.525503259017893,2.185182661172745,0.29176,1.22293,-1.07433,0.16557,2.29726,0.3403205978451478,-2973.57265146
22,p-so-7,etcoord,35,1,5,88,2.5310231879560092,2.1711998964455117,0.26468,1.02334,-0.96211,0.16447,1.98545,0.3598232915104975,-2175.01353622
21,p-so-6,etcoord,27,1,6,82,2.4942064580218695,2.1390197896898946,0.2814,1.05456,-0.96226,0.16372000000000003,2.01682,0.3551866683319749,-2173.07565946
40,pnpo-9,etcoord,58,1,2,79,2.5350762426887674,2.201490758567703,0.3421,1.1905,-1.09048,0.16179000000000002,2.2809799999999996,0.33358548412106437,-2981.94814185
19,p-so-4,etcoord,35,1,5,86,2.5253548681919935,2.126505099723252,0.33942,1.02012,-0.98167,0.16887,2.0017899999999997,0.3988497684687413,-2482.64307001
20,p-so-5,etcoord,34,1,5,87,2.533653037087359,2.1365913554266758,0.28938,1.03593,-0.96983,0.17164000000000001,2.00576,0.39706168166068334,-2214.31502652
