,Name,Axis,Boundary,Threshold,Unfilled,Filled,%Filled
2933,p-o-17,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3621.0,0.0,0.0
3029,p-o-18,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3558.0,63.0,1.739850869925435
3125,p-o-19,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3528.0,93.0,2.568351284175642
3221,p-o-20,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3604.0,17.0,0.4694835680751174
3317,p-o-21,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3621.0,0.0,0.0
3413,p-o-22,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3594.0,27.0,0.7456503728251864
3509,p-o-23,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3533.0,88.0,2.4302678818006074
3605,p-o-24,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3543.0,78.0,2.1541010770505387
3701,p-o-25,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3594.0,27.0,0.7456503728251864
3797,p-o-26,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3621.0,0.0,0.0
3893,p-o-27,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3621.0,0.0,0.0
3989,p-o-28,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3012.0,609.0,16.818558409279206
4085,p-o-29,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3366.0,255.0,7.042253521126761
4181,p-o-30,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3311.0,310.0,8.56117094725214
4277,p-o-31,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3471.0,150.0,4.142502071251036
4373,p-o-32,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3490.0,131.0,3.6177851422259044
4469,p-o-33,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3398.0,223.0,6.158519745926539
4565,p-o-34,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3621.0,0.0,0.0
4661,p-o-35,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3503.0,118.0,3.258768296050815
4757,p-o-36,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3231.0,390.0,10.770505385252692
4853,p-o-37,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3616.0,5.0,0.13808340237503453
4949,p-o-38,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3426.0,195.0,5.385252692626346
5045,p-o-39,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3343.0,278.0,7.67743717205192
5141,p-o-40,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3621.0,0.0,0.0
5237,p-o-41,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3402.0,219.0,6.048053024026512
5333,p-o-42,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3339.0,282.0,7.787903893951947
5429,p-o-43,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3344.0,277.0,7.649820491576913
5525,p-o-44,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3621.0,0.0,0.0
5621,p-o-45,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3563.0,58.0,1.6017674675504003
5717,p-o-46,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3192.0,429.0,11.847555923777962
5813,p-o-47,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3377.0,244.0,6.738470035901685
5909,p-o-48,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3555.0,66.0,1.8227009113504558
6005,p-o-8,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3344.0,277.0,7.649820491576913
6101,p-o-9,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.25,3621.0,0.0,0.0
54,c-n-1,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3555.0,66.0,1.8227009113504558
150,c-n-2,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3413.0,208.0,5.744269538801436
246,c-n-3,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3556.0,65.0,1.7950842308754487
342,c-o-1,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3444.0,177.0,4.888152444076222
438,c-o-2,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3481.0,140.0,3.8663352665009665
534,c-o-3,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3203.0,418.0,11.543772438552885
630,c-o-4,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3221.0,400.0,11.046672190002761
726,c-o-5,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3336.0,285.0,7.8707539353769675
822,c-o-6,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3141.0,480.0,13.256006628003314
918,c-o-7,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3421.0,200.0,5.523336095001381
1014,c-o-8,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3453.0,168.0,4.63960231980116
1110,c-p-1,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3515.0,106.0,2.927368130350732
1206,c-s-1,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3484.0,137.0,3.783485225075946
1302,n-o-1,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3573.0,48.0,1.3256006628003314
1398,n-o-2,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3621.0,0.0,0.0
1494,n-o-3,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3611.0,10.0,0.27616680475006905
1590,n-o-4,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3621.0,0.0,0.0
1686,n-o-5,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3614.0,7.0,0.19331676332504832
1782,n-o-6,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3560.0,61.0,1.6846175089754212
1878,p-n-1,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3621.0,0.0,0.0
1974,p-n-2,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3621.0,0.0,0.0
2070,p-n-3,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3621.0,0.0,0.0
2166,p-n-4,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3579.0,42.0,1.15990057995029
2262,p-o-10,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3621.0,0.0,0.0
2358,p-o-11,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3621.0,0.0,0.0
2454,p-o-12,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3621.0,0.0,0.0
2550,p-o-13,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3491.0,130.0,3.5901684617508973
2646,p-o-14,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3606.0,15.0,0.4142502071251036
2742,p-o-15,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3525.0,96.0,2.651201325600663
2838,p-o-16,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3446.0,175.0,4.8329190831262085
2934,p-o-17,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3621.0,0.0,0.0
3030,p-o-18,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3621.0,0.0,0.0
3126,p-o-19,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3618.0,3.0,0.08285004142502071
3222,p-o-20,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3621.0,0.0,0.0
3318,p-o-21,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3621.0,0.0,0.0
3414,p-o-22,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3621.0,0.0,0.0
3510,p-o-23,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3586.0,35.0,0.9665838166252416
3606,p-o-24,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3621.0,0.0,0.0
3702,p-o-25,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3621.0,0.0,0.0
3798,p-o-26,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3621.0,0.0,0.0
3894,p-o-27,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3621.0,0.0,0.0
3990,p-o-28,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3251.0,370.0,10.218171775752555
4086,p-o-29,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3430.0,191.0,5.2747859707263185
4182,p-o-30,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3497.0,124.0,3.424468378900856
4278,p-o-31,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3611.0,10.0,0.27616680475006905
4374,p-o-32,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3512.0,109.0,3.0102181717757523
4470,p-o-33,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3505.0,116.0,3.2035349351008007
4566,p-o-34,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3621.0,0.0,0.0
4662,p-o-35,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3590.0,31.0,0.856117094725214
4758,p-o-36,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3399.0,222.0,6.130903065451533
4854,p-o-37,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3621.0,0.0,0.0
4950,p-o-38,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3567.0,54.0,1.4913007456503728
5046,p-o-39,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3488.0,133.0,3.673018503175918
5142,p-o-40,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3621.0,0.0,0.0
5238,p-o-41,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3493.0,128.0,3.5349351008008836
5334,p-o-42,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3432.0,189.0,5.219552609776305
5430,p-o-43,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3435.0,186.0,5.136702568351284
5526,p-o-44,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3621.0,0.0,0.0
5622,p-o-45,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3600.0,21.0,0.579950289975145
5718,p-o-46,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3383.0,238.0,6.572769953051643
5814,p-o-47,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3563.0,58.0,1.6017674675504003
5910,p-o-48,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3598.0,23.0,0.6351836509251588
6006,p-o-8,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3502.0,119.0,3.2863849765258215
6102,p-o-9,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.5,3621.0,0.0,0.0
55,c-n-1,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3608.0,13.0,0.3590168461750898
151,c-n-2,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3524.0,97.0,2.67881800607567
247,c-n-3,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3619.0,2.0,0.055233360950013806
343,c-o-1,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3535.0,86.0,2.3750345208505936
439,c-o-2,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3551.0,70.0,1.9331676332504832
535,c-o-3,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3342.0,279.0,7.705053852526926
631,c-o-4,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3395.0,226.0,6.241369787351561
727,c-o-5,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3436.0,185.0,5.109085887876278
823,c-o-6,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3335.0,286.0,7.898370615851975
919,c-o-7,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3536.0,85.0,2.347417840375587
1015,c-o-8,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3558.0,63.0,1.739850869925435
1111,c-p-1,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3565.0,56.0,1.5465341066003866
1207,c-s-1,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3590.0,31.0,0.856117094725214
1303,n-o-1,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3620.0,1.0,0.027616680475006903
1399,n-o-2,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
1495,n-o-3,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
1591,n-o-4,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
1687,n-o-5,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
1783,n-o-6,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3614.0,7.0,0.19331676332504832
1879,p-n-1,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
1975,p-n-2,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
2071,p-n-3,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
2167,p-n-4,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
2263,p-o-10,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
2359,p-o-11,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
2455,p-o-12,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
2551,p-o-13,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3521.0,100.0,2.7616680475006903
2647,p-o-14,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
2743,p-o-15,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3575.0,46.0,1.2703673018503177
2839,p-o-16,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3500.0,121.0,3.3416183374758353
2935,p-o-17,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
3031,p-o-18,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
3127,p-o-19,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
3223,p-o-20,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
3319,p-o-21,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
3415,p-o-22,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
3511,p-o-23,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3617.0,4.0,0.11046672190002761
3607,p-o-24,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
3703,p-o-25,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
3799,p-o-26,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
3895,p-o-27,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
3991,p-o-28,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3413.0,208.0,5.744269538801436
4087,p-o-29,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3481.0,140.0,3.8663352665009665
4183,p-o-30,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3544.0,77.0,2.1264843965755316
4279,p-o-31,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
4375,p-o-32,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3527.0,94.0,2.595967964650649
4471,p-o-33,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3555.0,66.0,1.8227009113504558
4567,p-o-34,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
4663,p-o-35,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
4759,p-o-36,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3501.0,120.0,3.3140016570008286
4855,p-o-37,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
4951,p-o-38,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3608.0,13.0,0.3590168461750898
5047,p-o-39,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3546.0,75.0,2.071251035625518
5143,p-o-40,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
5239,p-o-41,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3544.0,77.0,2.1264843965755316
5335,p-o-42,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3484.0,137.0,3.783485225075946
5431,p-o-43,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3481.0,140.0,3.8663352665009665
5527,p-o-44,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
5623,p-o-45,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3618.0,3.0,0.08285004142502071
5719,p-o-46,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3496.0,125.0,3.452085059375863
5815,p-o-47,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3604.0,17.0,0.4694835680751174
5911,p-o-48,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
6007,p-o-8,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3543.0,78.0,2.1541010770505387
6103,p-o-9,X-coord,-3.45 - -1.0 and 1.0 - 3.55,1.75,3621.0,0.0,0.0
56,c-n-1,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1191.0,1010.0,45.888232621535664
152,c-n-2,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1101.0,1100.0,49.977283053157656
248,c-n-3,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1123.0,1078.0,48.977737392094504
344,c-o-1,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1642.0,559.0,25.397546569741028
440,c-o-2,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1579.0,622.0,28.25988187187642
536,c-o-3,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1399.0,802.0,36.4379827351204
632,c-o-4,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1539.0,662.0,30.077237619263972
728,c-o-5,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1602.0,599.0,27.214902317128576
824,c-o-6,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1539.0,662.0,30.077237619263972
920,c-o-7,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1539.0,662.0,30.077237619263972
1016,c-o-8,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1462.0,739.0,33.57564743298501
1112,c-p-1,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1509.0,692.0,31.440254429804636
1208,c-s-1,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1266.0,935.0,42.48069059518401
1304,n-o-1,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1524.0,677.0,30.758746024534304
1400,n-o-2,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1451.0,750.0,34.075420263516584
1496,n-o-3,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1545.0,656.0,29.80463425715584
1592,n-o-4,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1455.0,746.0,33.89368468877783
1688,n-o-5,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1543.0,658.0,29.895502044525216
1784,n-o-6,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1459.0,742.0,33.71194911403907
1880,p-n-1,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1243.0,958.0,43.52567014993185
1976,p-n-2,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1172.0,1029.0,46.75147660154475
2072,p-n-3,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1342.0,859.0,39.027714675147664
2168,p-n-4,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1124.0,1077.0,48.932303498409816
2264,p-o-10,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1780.0,421.0,19.127669241253976
2360,p-o-11,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1668.0,533.0,24.21626533393912
2456,p-o-12,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1915.0,286.0,12.99409359382099
2552,p-o-13,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1473.0,728.0,33.07587460245343
2648,p-o-14,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1809.0,392.0,17.810086324398
2744,p-o-15,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1581.0,620.0,28.169014084507044
2840,p-o-16,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1562.0,639.0,29.032258064516128
2936,p-o-17,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1581.0,620.0,28.169014084507044
3032,p-o-18,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1337.0,864.0,39.254884143571104
3128,p-o-19,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1363.0,838.0,38.07360290776919
3224,p-o-20,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1516.0,685.0,31.122217174011812
3320,p-o-21,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1431.0,770.0,34.98409813721036
3416,p-o-22,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1380.0,821.0,37.30122671512949
3512,p-o-23,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1729.0,472.0,21.444797819173104
3608,p-o-24,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1830.0,371.0,16.855974557019536
3704,p-o-25,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1380.0,821.0,37.30122671512949
3800,p-o-26,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1532.0,669.0,30.395274875056792
3896,p-o-27,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1667.0,534.0,24.261699227623808
3992,p-o-28,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1598.0,603.0,27.396637891867332
4088,p-o-29,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1657.0,544.0,24.716038164470696
4184,p-o-30,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1388.0,813.0,36.937755565651976
4280,p-o-31,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1384.0,817.0,37.11949114039073
4376,p-o-32,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1482.0,719.0,32.66696955929123
4472,p-o-33,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1480.0,721.0,32.75783734666061
4568,p-o-34,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1568.0,633.0,28.759654702407996
4664,p-o-35,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1466.0,735.0,33.39391185824625
4760,p-o-36,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1440.0,761.0,34.57519309404816
4856,p-o-37,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1361.0,840.0,38.164470695138576
4952,p-o-38,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1405.0,796.0,36.165379373012264
5048,p-o-39,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1451.0,750.0,34.075420263516584
5144,p-o-40,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1317.0,884.0,40.16356201726488
5240,p-o-41,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1548.0,653.0,29.668332576101772
5336,p-o-42,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1581.0,620.0,28.169014084507044
5432,p-o-43,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1360.0,841.0,38.209904588823264
5528,p-o-44,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1496.0,705.0,32.03089504770559
5624,p-o-45,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1614.0,587.0,26.669695592912312
5720,p-o-46,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1439.0,762.0,34.62062698773285
5816,p-o-47,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1516.0,685.0,31.122217174011812
5912,p-o-48,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1795.0,406.0,18.446160835983644
6008,p-o-8,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1605.0,596.0,27.078600636074512
6104,p-o-9,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.0,1531.0,670.0,30.44070876874148
57,c-n-1,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.25,1241.0,960.0,43.616537937301224
153,c-n-2,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.25,1203.0,998.0,45.3430258973194
249,c-n-3,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.25,1172.0,1029.0,46.75147660154475
345,c-o-1,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.25,1685.0,516.0,23.443889141299408
441,c-o-2,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.25,1596.0,605.0,27.487505679236712
537,c-o-3,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.25,1450.0,751.0,34.12085415720127
633,c-o-4,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.25,1579.0,622.0,28.25988187187642
729,c-o-5,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.25,1671.0,530.0,24.079963652885052
825,c-o-6,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.25,1578.0,623.0,28.305315765561108
921,c-o-7,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.25,1578.0,623.0,28.305315765561108
1017,c-o-8,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.25,1542.0,659.0,29.940935938209904
1113,c-p-1,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.25,1577.0,624.0,28.350749659245796
1209,c-s-1,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.25,1390.0,811.0,36.8468877782826
1305,n-o-1,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.25,1578.0,623.0,28.305315765561108
1401,n-o-2,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.25,1577.0,624.0,28.350749659245796
1497,n-o-3,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.25,1703.0,498.0,22.626079054975012
1593,n-o-4,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.25,1578.0,623.0,28.305315765561108
1689,n-o-5,X-coord,-3.45 - -2.0 and 2.0 - 3.55,0.25,1695.0,506.0,22.98955020445252
