,Name,Axis,Boundary,Threshold,Unfilled,Filled,%Filled
769,c-o-6,X-coord,-1.0-1.0,0.25,1056.0,364.0,25.633802816901408
865,c-o-7,X-coord,-1.0-1.0,0.25,1383.0,37.0,2.6056338028169015
961,c-o-8,X-coord,-1.0-1.0,0.25,1388.0,32.0,2.2535211267605635
1057,c-p-1,X-coord,-1.0-1.0,0.25,1340.0,80.0,5.633802816901408
1153,c-s-1,X-coord,-1.0-1.0,0.25,1231.0,189.0,13.309859154929578
1249,n-o-1,X-coord,-1.0-1.0,0.25,1396.0,24.0,1.6901408450704225
1345,n-o-2,X-coord,-1.0-1.0,0.25,1398.0,22.0,1.5492957746478873
1441,n-o-3,X-coord,-1.0-1.0,0.25,1410.0,10.0,0.704225352112676
1537,n-o-4,X-coord,-1.0-1.0,0.25,1401.0,19.0,1.3380281690140845
1633,n-o-5,X-coord,-1.0-1.0,0.25,1410.0,10.0,0.704225352112676
1729,n-o-6,X-coord,-1.0-1.0,0.25,1402.0,18.0,1.267605633802817
1825,p-n-1,X-coord,-1.0-1.0,0.25,1420.0,0.0,0.0
1921,p-n-2,X-coord,-1.0-1.0,0.25,1337.0,83.0,5.845070422535211
2017,p-n-3,X-coord,-1.0-1.0,0.25,1349.0,71.0,5.0
2113,p-n-4,X-coord,-1.0-1.0,0.25,1087.0,333.0,23.450704225352112
2209,p-o-10,X-coord,-1.0-1.0,0.25,1420.0,0.0,0.0
2305,p-o-11,X-coord,-1.0-1.0,0.25,1345.0,75.0,5.28169014084507
2401,p-o-12,X-coord,-1.0-1.0,0.25,1420.0,0.0,0.0
2497,p-o-13,X-coord,-1.0-1.0,0.25,1253.0,167.0,11.76056338028169
2593,p-o-14,X-coord,-1.0-1.0,0.25,1420.0,0.0,0.0
2689,p-o-15,X-coord,-1.0-1.0,0.25,828.0,592.0,41.690140845070424
2785,p-o-16,X-coord,-1.0-1.0,0.25,1254.0,166.0,11.690140845070422
2881,p-o-17,X-coord,-1.0-1.0,0.25,1408.0,12.0,0.8450704225352113
2977,p-o-18,X-coord,-1.0-1.0,0.25,1370.0,50.0,3.5211267605633805
3073,p-o-19,X-coord,-1.0-1.0,0.25,1217.0,203.0,14.295774647887324
3169,p-o-20,X-coord,-1.0-1.0,0.25,1208.0,212.0,14.929577464788732
3265,p-o-21,X-coord,-1.0-1.0,0.25,1355.0,65.0,4.577464788732394
3361,p-o-22,X-coord,-1.0-1.0,0.25,1142.0,278.0,19.577464788732396
3457,p-o-23,X-coord,-1.0-1.0,0.25,1082.0,338.0,23.802816901408452
3553,p-o-24,X-coord,-1.0-1.0,0.25,813.0,607.0,42.74647887323944
3649,p-o-25,X-coord,-1.0-1.0,0.25,1142.0,278.0,19.577464788732396
3745,p-o-26,X-coord,-1.0-1.0,0.25,1054.0,366.0,25.774647887323944
3841,p-o-27,X-coord,-1.0-1.0,0.25,1406.0,14.0,0.9859154929577465
3937,p-o-28,X-coord,-1.0-1.0,0.25,1035.0,385.0,27.112676056338028
4033,p-o-29,X-coord,-1.0-1.0,0.25,1201.0,219.0,15.422535211267606
4129,p-o-30,X-coord,-1.0-1.0,0.25,1208.0,212.0,14.929577464788732
4225,p-o-31,X-coord,-1.0-1.0,0.25,1264.0,156.0,10.985915492957746
4321,p-o-32,X-coord,-1.0-1.0,0.25,1081.0,339.0,23.87323943661972
4417,p-o-33,X-coord,-1.0-1.0,0.25,1149.0,271.0,19.08450704225352
4513,p-o-34,X-coord,-1.0-1.0,0.25,1410.0,10.0,0.704225352112676
4609,p-o-35,X-coord,-1.0-1.0,0.25,1067.0,353.0,24.859154929577464
4705,p-o-36,X-coord,-1.0-1.0,0.25,1402.0,18.0,1.267605633802817
