,Name,Category,Metal,Atom_A,Atom_B,A-M-B Angle,M-A Distance,M-B Distance,Metal_NBO,A_NBO,B_NBO,HOMO_LUMO,A-B_NBO,MA_MB_Difference,SPE,Gibbs Free Energy Correction
53,p-o-18,nocoord,61.0,1.0,74.0,99.0,2.425177989946924,2.348823068993065,0.12577,1.03226,-0.3659,0.16375,1.3981599999999998,0.0763549209538587,-2578.10005567,0.526467
55,p-o-19,nocoord,51.0,1.0,14.0,90.0,2.438963304490455,2.0898338159370478,0.40276,1.00065,-1.06242,0.16031,2.06307,0.3491294885534075,-2340.9637456,0.717691
57,p-o-20,nocoord,62.0,1.0,61.0,82.0,2.418041319395928,2.0890977309561176,0.37544,1.02492,-1.07788,0.15694,2.1028,0.3289435884398104,-2126.0047465,0.545311
59,p-o-21,nocoord,14.0,1.0,13.0,94.0,2.457614088075669,2.0873863047232057,0.37379,0.97179,-1.03054,0.16365,2.00233,0.3702277833524632,-2047.41276689,0.491143
61,p-o-22,nocoord,40.0,1.0,39.0,84.0,2.4178349056751167,2.078488901757717,0.37755,1.00868,-1.07713,0.15943,2.08581,0.3393460039173996,-1899.87209002,0.553475
63,p-o-23,nocoord,51.0,1.0,50.0,84.0,2.4561195115476364,2.105394680174955,0.40667,1.01114,-1.08443,0.16091,2.09557,0.3507248313726814,-2163.37034423,0.555164
65,p-o-24,nocoord,51.0,1.0,50.0,83.0,2.4889099613993677,2.1015685592114286,0.38963,0.97443,-1.08151,0.16705,2.05594,0.3873414021879386,-2608.49265051,0.500881
67,p-o-25,nocoord,40.0,1.0,39.0,84.0,2.4178349056751167,2.078488901757717,0.37755,1.00868,-1.07713,0.15943,2.08581,0.3393460039173996,-1899.87209006,0.553475
69,p-o-26,nocoord,31.0,1.0,30.0,84.0,2.46550749978762,2.113807611607783,0.36603,0.99437,-1.07874,0.16461,2.07311,0.3516998881798368,-1786.81049135,0.559466
71,p-o-27,nocoord,5.0,1.0,4.0,84.0,2.46527026481094,2.1040897340277573,0.36107,1.0056,-1.03106,0.16583,2.0366600000000004,0.3611805307831828,-1551.04858162,0.396846
73,p-o-28,nocoord,5.0,1.0,4.0,86.0,2.5252467128031277,2.10347000721118,0.35177,0.96683,-1.03532,0.16658,2.00215,0.4217767055919474,-2020.19916525,0.684891
75,p-o-29,nocoord,68.0,32.0,9.0,82.0,2.439642023985486,2.08295496239573,0.41404,1.03921,-1.0313,0.15406,2.07051,0.3566870615897555,-5396.82646437,0.495706
77,p-o-30,nocoord,64.0,28.0,5.0,86.0,2.428747058825393,2.0913686027307574,0.42234,1.02754,-1.02527,0.15341,2.05281,0.337378456094636,-2976.94697931,0.554857
79,p-o-31,nocoord,34.0,28.0,5.0,91.0,2.47151179309345,2.0781742266082985,0.38469,0.98327,-1.03189,0.16329,2.01516,0.3933375664851515,-2755.17151003,0.631102
81,p-o-32,nocoord,53.0,28.0,5.0,91.0,2.4241599371687506,2.0850203418472923,0.39664,1.01953,-1.02816,0.15099,2.04769,0.3391395953214582,-3207.89407679,0.627643
82,p-o-33,nocoord,64.0,1.0,33.0,94.0,2.478742380347946,2.114961555002123,0.39047,0.98983,-1.05257,0.1545,2.0424,0.363780825345823,-2348.33986966,0.50236
84,p-o-34,nocoord,54.0,1.0,33.0,94.0,2.466375924007936,2.1111203067066078,0.36471,0.99442,-1.05013,0.1592099999999999,2.04455,0.3552556173013284,-2119.32002211,0.442933
86,p-o-35,nocoord,33.0,1.0,12.0,93.0,2.476919020622798,2.103932515481426,0.36001,0.96714,-1.05409,0.16397,2.02123,0.3729865051413719,-1932.49556331,0.478094
88,p-o-36,nocoord,33.0,1.0,12.0,96.0,2.4908523583755424,2.107972299056608,0.4089,0.97777,-1.05608,0.16148,2.03385,0.3828800593189347,-3080.00020218,0.726163
90,p-o-37,nocoord,31.0,1.0,12.0,91.0,2.4398431274311467,2.0887545487110257,0.37432,0.98841,-1.04631,0.16414,2.03472,0.351088578720121,-1853.39437045,0.477095
92,p-o-38,nocoord,25.0,1.0,12.0,90.0,2.446549106379228,2.081900458650461,0.37824,0.96494,-1.08492,0.1636099999999999,2.04986,0.3646486477287673,-2167.74689004,0.697237
94,p-o-39,nocoord,17.0,1.0,12.0,89.0,2.4383206903500207,2.0773622453748883,0.37939,0.99064,-1.08078,0.16323,2.07142,0.3609584449751324,-2324.94228901,0.800532
96,p-o-40,nocoord,17.0,1.0,12.0,90.0,2.421193775730683,2.066431516853632,0.38887,1.00176,-1.09611,0.16103,2.09787,0.3547622588770514,-2393.87910189,0.685754
97,p-o-41,nocoord,17.0,1.0,12.0,93.0,2.4510187326020176,2.0915302005629752,0.41599,0.99942,-1.05388,0.15992,2.0533,0.3594885320390424,-2308.54038146,0.530089
98,p-o-42,nocoord,17.0,1.0,12.0,84.0,2.425285583407653,2.0796102851758067,0.42914,1.01926,-1.07248,0.15593,2.09174,0.3456752982318463,-2465.72587554,0.636643
100,p-o-43,nocoord,17.0,1.0,12.0,91.0,2.4355176810897925,2.0746184182384,0.41279,0.99537,-1.09114,0.1595399999999999,2.08651,0.3608992628513925,-2622.9064855,0.746523
102,p-o-44,nocoord,17.0,1.0,12.0,92.0,2.433349412110599,2.068451707349001,0.37789,1.00058,-1.07341,0.16516,2.07399,0.364897704761598,-2790.90168368,0.648697
103,p-o-45,nocoord,17.0,1.0,12.0,94.0,2.452727173992656,2.092090730562372,0.41164,0.99748,-1.05578,0.1548999999999999,2.05326,0.3606364434302835,-2671.47588123,0.656171
106,p-o-8,nocoord,33.0,1.0,4.0,89.0,2.4433243425196336,2.079455291581428,0.38382,0.99616,-1.05366,0.16143,2.04982,0.3638690509382059,-2333.71642021,0.583814
108,p-o-9,nocoord,33.0,1.0,4.0,94.0,2.4533808845774434,2.0930520605732674,0.37722,0.99476,-1.03273,0.16295,2.02749,0.360328824004176,-2273.54656978,0.481591
