,Name,Category,Metal,Atom_A,Atom_B,A-M-B Angle,M-A Distance,M-B Distance,Metal_NBO,A_NBO,B_NBO,HOMO_LUMO,A-B_NBO,MA_MB_Difference,SPE
6,c-o-4,etcoord,7.0,14.0,47.0,82,2.1896299249306947,2.0783832705016176,0.34016,0.34667,-0.69926,0.16929,1.04593,0.11124665442907711,-1437.98261312
7,c-o-5,etcoord,,,,82,2.1896299249306947,2.0783832705016176,0.34016,0.34667,-0.69926,0.19435000000000002,1.04593,0.11124665442907711,-1788.95352086
8,c-o-6,etcoord,7.0,14.0,62.0,86,2.1579891388220656,2.055220807487604,0.3103,0.23452,-0.67473,0.16268000000000002,0.9092500000000001,0.1027683313344614,-1512.97528665
9,c-o-9,etcoord,88.0,7.0,16.0,87,2.079243816787728,2.201331591971096,0.33708,0.25807,-1.1107,0.15937,1.36877,-0.12208777518336777,-2281.64613374
10,c-p-1,etcoord,,,,87,2.079243816787728,2.201331591971096,0.33708,0.25807,-1.1107,0.17987999999999998,1.36877,-0.12208777518336777,-1777.75137429
5,c-o-3,etcoord,7.0,14.0,61.0,85,2.2161036544541415,2.1213483516473666,0.35806,0.21408,-1.08572,0.16166999999999998,1.2998,0.09475530280677491,-2055.49435344
12,p-o-10,etcoord,1.0,2.0,26.0,77,2.5097896940235844,2.307648310891848,0.24077,1.06323,-0.56903,0.16835,1.63226,0.20214138313173624,-1479.27803892
13,p-o-11,etcoord,1.0,2.0,26.0,76,2.519199192671552,2.151042653901591,0.29158,1.19839,-0.60617,0.17852999999999997,1.80456,0.368156538769961,-1534.63356128
14,p-o-12,etcoord,31.0,1.0,52.0,81,2.4314860929836715,2.0738875224596924,0.27476,1.06457,-0.70431,0.15972,1.76888,0.35759857052397903,-1706.15437273
15,p-o-13,etcoord,31.0,1.0,4.0,89,2.526883282399288,2.130748758012075,0.27476,1.06457,-0.34564,0.16917,1.41021,0.3961345243872132,-2582.34722086
16,p-o-15,etcoord,31.0,1.0,4.0,88,2.531764969350433,2.1001188880589594,0.35642,1.0079,-1.05434,0.17052,2.06224,0.43164608129147375,-2811.36006025
17,p-o-16,etcoord,81.0,1.0,44.0,82,2.4846251426637784,2.1317484186183884,0.31894,1.04712,-1.08901,0.16881000000000002,2.13613,0.35287672404539006,-2642.52749171
18,p-o-17,etcoord,62.0,1.0,35.0,87,2.5190310165587486,2.122238279790938,0.33155,1.01813,-1.07767,0.17201,2.0957999999999997,0.3967927367678108,-2334.91653531
19,p-o-18,etcoord,61.0,1.0,80.0,92,2.510920945523574,2.4103701498045895,0.06383,1.06278,-0.40233,0.16168,1.4651100000000001,0.10055079571898462,-2657.86962778
11,c-s-1,etcoord,7.0,38.0,14.0,86,2.623376725781297,2.072378995062679,0.13527,0.40083,0.28795,0.18344,0.11288000000000004,0.5509977307186182,-1411.35955966
20,p-o-19,etcoord,51.0,1.0,14.0,87,2.48051185006986,2.1505032323877127,0.29187,1.04997,-1.08823,0.17643,2.1382000000000003,0.3300086176821475,-2420.75194971
88,p-o-29,nocoord,68.0,32.0,9.0,82,2.439642023985486,2.0829549623957306,0.41404,1.03921,-1.0313,0.15406,2.07051,0.3566870615897555,-5396.82646437
87,p-o-28,nocoord,5.0,1.0,4.0,86,2.5252467128031273,2.10347000721118,0.35177,0.96683,-1.03532,0.16658,2.00215,0.42177670559194747,-2020.19916525
86,p-o-27,nocoord,5.0,1.0,4.0,84,2.46527026481094,2.1040897340277573,0.36107,1.0056,-1.03106,0.16583,2.0366600000000004,0.3611805307831828,-1551.04858162
85,p-o-26,nocoord,31.0,1.0,30.0,84,2.46550749978762,2.113807611607783,0.36603,0.99437,-1.07874,0.16461,2.07311,0.3516998881798368,-1786.81049135
84,p-o-25,nocoord,40.0,1.0,39.0,84,2.4178349056751167,2.078488901757717,0.37755,1.00868,-1.07713,0.15943000000000002,2.08581,0.33934600391739966,-1899.87209006
80,p-o-21,nocoord,14.0,1.0,13.0,94,2.457614088075669,2.0873863047232057,0.37379,0.97179,-1.03054,0.16365000000000002,2.00233,0.3702277833524632,-2047.41276689
82,p-o-23,nocoord,51.0,1.0,50.0,84,2.4561195115476364,2.105394680174955,0.40667,1.01114,-1.08443,0.16091,2.09557,0.3507248313726814,-2163.37034423
81,p-o-22,nocoord,40.0,1.0,39.0,84,2.4178349056751167,2.078488901757717,0.37755,1.00868,-1.07713,0.15943000000000002,2.08581,0.33934600391739966,-1899.87209002
79,p-o-20,nocoord,62.0,1.0,61.0,82,2.418041319395928,2.0890977309561176,0.37544,1.02492,-1.07788,0.15694000000000002,2.1028000000000002,0.3289435884398104,-2126.0047465
89,p-o-30,nocoord,64.0,28.0,5.0,86,2.4287470588253934,2.0913686027307574,0.42234,1.02754,-1.02527,0.15341,2.05281,0.337378456094636,-2976.94697931
78,p-o-19,nocoord,51.0,1.0,14.0,90,2.438963304490455,2.0898338159370473,0.40276,1.00065,-1.06242,0.16031,2.0630699999999997,0.34912948855340753,-2340.9637456
83,p-o-24,nocoord,51.0,1.0,50.0,83,2.4889099613993673,2.1015685592114286,0.38963,0.97443,-1.08151,0.16705000000000003,2.05594,0.38734140218793867,-2608.49265051
90,p-o-31,nocoord,34.0,28.0,5.0,91,2.47151179309345,2.0781742266082985,0.38469,0.98327,-1.03189,0.16329,2.01516,0.3933375664851515,-2755.17151003
101,p-o-42,nocoord,17.0,1.0,12.0,84,2.425285583407653,2.0796102851758067,0.42914,1.01926,-1.07248,0.15593,2.09174,0.3456752982318463,-2465.72587554
92,p-o-33,nocoord,64.0,1.0,33.0,94,2.478742380347946,2.114961555002123,0.39047,0.98983,-1.05257,0.1545,2.0423999999999998,0.363780825345823,-2348.33986966
93,p-o-34,nocoord,54.0,1.0,33.0,94,2.4663759240079357,2.1111203067066073,0.36471,0.99442,-1.05013,0.15920999999999996,2.04455,0.3552556173013284,-2119.32002211
94,p-o-35,nocoord,33.0,1.0,12.0,93,2.476919020622798,2.103932515481426,0.36001,0.96714,-1.05409,0.16397,2.02123,0.3729865051413719,-1932.49556331
