,Name,Category,Metal,Atom_A,Atom_B,A-M-B Angle,M-A Distance,M-B Distance,Metal_NBO,A_NBO,B_NBO,HOMO_LUMO,A-B_NBO,MA_MB_Difference,SPE,Gibbs Free Energy Correction
78,p-o-31,etcoord,31.0,30.0,7.0,85.0,2.4804260430671987,2.077360136479469,0.32831,1.09185,-1.04509,0.1617099999999999,2.13694,0.4030659065877295,-2834.97090862,0.68165
80,p-o-32,etcoord,50.0,30.0,7.0,83.0,2.43712025627399,2.0847083409182203,0.32873,1.10341,-1.0458,0.14819,2.14921,0.3524119153557703,-3287.69509996,0.679577
83,p-o-34,etcoord,62.0,1.0,33.0,88.0,2.4978751558186407,2.1656457225742165,0.27945,1.04178,-1.06964,0.17455,2.11142,0.3322294332444242,-2199.1091505,0.494819
85,p-o-35,etcoord,41.0,1.0,12.0,87.0,2.572305155867204,2.143956743756972,0.30307,0.98166,-1.07371,0.17242,2.05537,0.4283484121102314,-2012.26834994,0.52864
87,p-o-36,etcoord,99.0,1.0,12.0,86.0,2.4907133513750632,2.166611590436089,0.31892,1.04541,-1.07421,0.17434,2.1196200000000003,0.3241017609389742,-3159.80320895,0.777661
89,p-o-37,etcoord,31.0,1.0,12.0,81.0,2.4966626102631486,2.1169726694442703,0.32576,1.01881,-1.07119,0.17628,2.09,0.3796899408188783,-1933.17231433,0.525973
91,p-o-38,etcoord,25.0,1.0,12.0,86.0,2.529713518332461,2.10849698876024,0.34072,0.99436,-1.11003,0.17069,2.10439,0.4212165295722214,-2247.51913432,0.74709
93,p-o-39,etcoord,100.0,1.0,12.0,84.0,2.527369981377479,2.115608981538413,0.32815,1.00444,-1.10845,0.17524,2.11289,0.4117609998390659,-2404.72697413,0.850528
95,p-o-40,etcoord,90.0,1.0,12.0,85.0,2.4772052169509493,2.1122449912178745,0.34037,1.02615,-1.11854,0.1708,2.14469,0.3649602257330748,-2473.664208,0.734911
99,p-o-43,etcoord,56.0,1.0,12.0,84.0,2.4743640805156386,2.108820393080928,0.33456,1.04435,-1.10957,0.17171,2.15392,0.3655436874347106,-2702.69718297,0.794486
101,p-o-44,etcoord,46.0,1.0,12.0,83.0,2.4794916556750093,2.1170829810911997,0.31071,1.04722,-1.10296,0.17508,2.15018,0.36240867458381,-2870.69066924,0.700782
104,p-o-48,etcoord,46.0,1.0,12.0,3.0,4.59125213879177,7.525911492455514,0.31071,1.04722,-1.10296,0.15931,2.15018,-2.9346593536637444,-1935.17679668,0.525772
105,p-o-8,etcoord,33.0,1.0,4.0,87.0,2.467544908744317,2.1210095763058217,0.29287,1.04676,-1.07411,0.17507,2.12087,0.3465353324384952,-2413.50071893,0.634031
107,p-o-9,etcoord,33.0,1.0,4.0,89.0,2.48861712955569,2.1374086207164504,0.30565,1.03386,-1.05779,0.17623,2.09165,0.3512085088392394,-2353.33392507,0.532248
